"Month";"Price component";"Type of consumer";"Price (c/kWh)"
"2013M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.119
"2013M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.788
"2013M06";"Total price";"Household customer, annual consumption > 15 000 kWh";12.347
"2013M07";"Total price";"Household customer, annual consumption < 1 000 kW";21.332
"2013M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.753
"2013M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.071
"2013M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.732
"2013M07";"Total price";"Household customer, annual consumption > 15 000 kWh";12.335
"2013M08";"Total price";"Household customer, annual consumption < 1 000 kW";21.315
"2013M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.790
"2013M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.033
"2013M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.688
"2013M08";"Total price";"Household customer, annual consumption > 15 000 kWh";12.308
"2013M09";"Total price";"Household customer, annual consumption < 1 000 kW";21.303
"2013M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.589
"2013M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.928
"2013M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.589
